layer,input_density_5,input_density_50,input_density_95,weight_density,output_density_5,output_density_50,output_density_95,input_shape_batch_N,input_shape_rows_H,input_shape_cols_W,input_shape_channels_C,output_shape_batch_N,output_shape_rows_F,output_shape_cols_E,output_shape_channels_M,filters,depth_multiplier,kernel_size_rows_S,kernel_size_cols_R,strides_rows_Hstride,strides_cols_Wstride,dilation_rate_rows_Hdilation,dilation_rate_cols_Wdilation
conv1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,224,224,3,1,112,112,16,16,,3,3,2,2,1,1
conv_dw_1,0.6313127790178571,0.6698571029974489,0.6844656808035714,1.0,0.6448648258131378,0.6833545918367347,0.6875,1,112,112,16,1,112,112,16,,1,3,3,1,1,1,1
conv_pw_1,0.6978784677933674,0.7461734693877551,0.7882802535076531,1.0,1.0,1.0,1.0,1,112,112,16,1,112,112,32,32,,1,1,1,1,1,1
conv_dw_2,0.7773978972511552,0.797566371681416,0.8271547546793014,1.0,0.9185965401785714,0.9499661192602041,0.9683015784438775,1,113,113,32,1,56,56,32,,1,3,3,2,2,1,1
conv_pw_2,0.8689512914540817,0.9181730309311225,0.9555270448022958,1.0,1.0,1.0,1.0,1,56,56,32,1,56,56,64,64,,1,1,1,1,1,1
conv_dw_3,0.8595444036989796,0.8767737563775511,0.8939732142857143,1.0,0.8950394610969388,0.914794921875,0.9334744200414541,1,56,56,64,1,56,56,64,,1,3,3,1,1,1,1
conv_pw_3,0.6667926399075256,0.6938277264030612,0.7330449318399235,1.0,1.0,1.0,1.0,1,56,56,64,1,56,56,64,64,,1,1,1,1,1,1
conv_dw_4,0.6756162953985841,0.7004943828870421,0.7460516697445367,1.0,0.9607382015306123,0.9797114158163265,0.9899553571428571,1,57,57,64,1,28,28,64,,1,3,3,2,2,1,1
conv_pw_4,0.8589764030612245,0.8816167091836735,0.908820950255102,1.0,1.0,1.0,1.0,1,28,28,64,1,28,28,128,128,,1,1,1,1,1,1
conv_dw_5,0.8894391741071429,0.9040577168367347,0.92529296875,1.0,0.9640963807397959,0.9741111288265306,0.9821428571428571,1,28,28,128,1,28,28,128,,1,3,3,1,1,1,1
